uniprot_acc	pathway_id	pathway_name
Q5T5M0	hsa03320	PPAR signaling pathway
Q6P5T0	hsa03320	PPAR signaling pathway
Q6PCB7	hsa03320	PPAR signaling pathway
P06858	hsa03320	PPAR signaling pathway
P48163	hsa03320	PPAR signaling pathway
P03956	hsa03320	PPAR signaling pathway
Q00G26	hsa03320	PPAR signaling pathway
P78380	hsa03320	PPAR signaling pathway
Q15067	hsa03320	PPAR signaling pathway
P35558	hsa03320	PPAR signaling pathway
Q16822	hsa03320	PPAR signaling pathway
Q9BY76	hsa03320	PPAR signaling pathway
O15530	hsa03320	PPAR signaling pathway
Q9ULC5	hsa03320	PPAR signaling pathway
O60240	hsa03320	PPAR signaling pathway
P55058	hsa03320	PPAR signaling pathway
Q07869	hsa03320	PPAR signaling pathway
Q03181	hsa03320	PPAR signaling pathway
P37231	hsa03320	PPAR signaling pathway
E9PFV2	hsa03320	PPAR signaling pathway
E9PFX5	hsa03320	PPAR signaling pathway
P19793	hsa03320	PPAR signaling pathway
A0A5F9ZHH6	hsa03320	PPAR signaling pathway
P28702	hsa03320	PPAR signaling pathway
A0A0G2JKR7	hsa03320	PPAR signaling pathway
P48443	hsa03320	PPAR signaling pathway
A0A087WZ88	hsa03320	PPAR signaling pathway
O00767	hsa03320	PPAR signaling pathway
P22307	hsa03320	PPAR signaling pathway
E9PLD1	hsa03320	PPAR signaling pathway
A0A0J9YXN7	hsa03320	PPAR signaling pathway
P0CG48	hsa03320	PPAR signaling pathway
P25874	hsa03320	PPAR signaling pathway
Q86SK9	hsa03320	PPAR signaling pathway
Q5FVE4	hsa03320	PPAR signaling pathway
A0A7P0Z4L8	hsa03320	PPAR signaling pathway
Q99424	hsa03320	PPAR signaling pathway
O15254	hsa03320	PPAR signaling pathway
Q15848	hsa03320	PPAR signaling pathway
O95864	hsa03320	PPAR signaling pathway
P16671	hsa03320	PPAR signaling pathway
E9PLT1	hsa03320	PPAR signaling pathway
Q9UGN5	hsa03410	Base excision repair
Q9Y6F1	hsa03410	Base excision repair
Q15054	hsa03410	Base excision repair
P09874	hsa03410	Base excision repair
Q9UKK3	hsa03410	Base excision repair
P39748	hsa03410	Base excision repair
Q53HV7	hsa03410	Base excision repair
Q969S2	hsa03410	Base excision repair
Q9UBZ4	hsa03410	Base excision repair
Q9UGP5	hsa03410	Base excision repair
P09429	hsa03410	Base excision repair
P27695	hsa03410	Base excision repair
P18858	hsa03410	Base excision repair
F5GZ28	hsa03410	Base excision repair
P49916	hsa03410	Base excision repair
P29372	hsa03410	Base excision repair
Q9UIF7	hsa03410	Base excision repair
E9PM53	hsa03410	Base excision repair
P78549	hsa03410	Base excision repair
O15527	hsa03410	Base excision repair
P12004	hsa03410	Base excision repair
Q9NRF9	hsa03410	Base excision repair
P06746	hsa03410	Base excision repair
P28340	hsa03410	Base excision repair
M0R2B7	hsa03410	Base excision repair
A0A087WYJ2	hsa03410	Base excision repair
P49005	hsa03410	Base excision repair
A0A087WWF6	hsa03410	Base excision repair
Q07864	hsa03410	Base excision repair
P56282	hsa03410	Base excision repair
Q8TAT5	hsa03410	Base excision repair
Q9NR33	hsa03410	Base excision repair
Q9HCU8	hsa03410	Base excision repair
Q13569	hsa03410	Base excision repair
B4E127	hsa03410	Base excision repair
P13051	hsa03410	Base excision repair
P18887	hsa03410	Base excision repair
Q96FI4	hsa03410	Base excision repair
O95243	hsa03410	Base excision repair
R4GMW8	hsa03420	Nucleotide excision repair
P50613	hsa03420	Nucleotide excision repair
D6RFL0	hsa03420	Nucleotide excision repair
D6R9G1	hsa03420	Nucleotide excision repair
P41208	hsa03420	Nucleotide excision repair
Q15054	hsa03420	Nucleotide excision repair
Q13216	hsa03420	Nucleotide excision repair
B3KPW7	hsa03420	Nucleotide excision repair
Q16531	hsa03420	Nucleotide excision repair
Q92466	hsa03420	Nucleotide excision repair
P07992	hsa03420	Nucleotide excision repair
P18074	hsa03420	Nucleotide excision repair
A0A804HK53	hsa03420	Nucleotide excision repair
P19447	hsa03420	Nucleotide excision repair
Q92889	hsa03420	Nucleotide excision repair
A0A804HKF9	hsa03420	Nucleotide excision repair
P28715	hsa03420	Nucleotide excision repair
Q03468	hsa03420	Nucleotide excision repair
P0DP91	hsa03420	Nucleotide excision repair
P32780	hsa03420	Nucleotide excision repair
Q13888	hsa03420	Nucleotide excision repair
Q13889	hsa03420	Nucleotide excision repair
A0A087WYD5	hsa03420	Nucleotide excision repair
Q92759	hsa03420	Nucleotide excision repair
Q13156	hsa03420	Nucleotide excision repair
P18858	hsa03420	Nucleotide excision repair
F5GZ28	hsa03420	Nucleotide excision repair
Q6ZYL4	hsa03420	Nucleotide excision repair
P51948	hsa03420	Nucleotide excision repair
P12004	hsa03420	Nucleotide excision repair
Q9NRF9	hsa03420	Nucleotide excision repair
P28340	hsa03420	Nucleotide excision repair
M0R2B7	hsa03420	Nucleotide excision repair
A0A087WYJ2	hsa03420	Nucleotide excision repair
P49005	hsa03420	Nucleotide excision repair
A0A087WWF6	hsa03420	Nucleotide excision repair
Q07864	hsa03420	Nucleotide excision repair
P56282	hsa03420	Nucleotide excision repair
Q9NR33	hsa03420	Nucleotide excision repair
Q9HCU8	hsa03420	Nucleotide excision repair
P54725	hsa03420	Nucleotide excision repair
P54727	hsa03420	Nucleotide excision repair
P35251	hsa03420	Nucleotide excision repair
P35250	hsa03420	Nucleotide excision repair
A0A087WVY3	hsa03420	Nucleotide excision repair
P40938	hsa03420	Nucleotide excision repair
P35249	hsa03420	Nucleotide excision repair
P40937	hsa03420	Nucleotide excision repair
P27694	hsa03420	Nucleotide excision repair
P15927	hsa03420	Nucleotide excision repair
P35244	hsa03420	Nucleotide excision repair
Q6P1K8	hsa03420	Nucleotide excision repair
Q6P1K8	hsa03420	Nucleotide excision repair
P23025	hsa03420	Nucleotide excision repair
Q01831	hsa03420	Nucleotide excision repair
Q13620	hsa03420	Nucleotide excision repair
K4DI93	hsa03420	Nucleotide excision repair
Q13619	hsa03420	Nucleotide excision repair
A0A0A0MR50	hsa03420	Nucleotide excision repair
P51946	hsa03420	Nucleotide excision repair
P62877	hsa03420	Nucleotide excision repair
Q15054	hsa03430	Mismatch repair
Q9UHC1	hsa03430	Mismatch repair
P52701	hsa03430	Mismatch repair
Q13156	hsa03430	Mismatch repair
P18858	hsa03430	Mismatch repair
F5GZ28	hsa03430	Mismatch repair
P40692	hsa03430	Mismatch repair
P43246	hsa03430	Mismatch repair
A0A2R8Y6P0	hsa03430	Mismatch repair
P20585	hsa03430	Mismatch repair
P12004	hsa03430	Mismatch repair
P54278	hsa03430	Mismatch repair
A0A2R8Y6S3	hsa03430	Mismatch repair
C9J167	hsa03430	Mismatch repair
P28340	hsa03430	Mismatch repair
M0R2B7	hsa03430	Mismatch repair
A0A087WYJ2	hsa03430	Mismatch repair
P49005	hsa03430	Mismatch repair
A0A087WWF6	hsa03430	Mismatch repair
Q9HCU8	hsa03430	Mismatch repair
P35251	hsa03430	Mismatch repair
P35250	hsa03430	Mismatch repair
A0A087WVY3	hsa03430	Mismatch repair
P40938	hsa03430	Mismatch repair
P35249	hsa03430	Mismatch repair
P40937	hsa03430	Mismatch repair
P27694	hsa03430	Mismatch repair
P15927	hsa03430	Mismatch repair
P35244	hsa03430	Mismatch repair
Q04837	hsa03430	Mismatch repair
Q9UQ84	hsa03430	Mismatch repair
Q92878	hsa03440	Homologous recombination
Q15054	hsa03440	Homologous recombination
Q92547	hsa03440	Homologous recombination
Q96AY2	hsa03440	Homologous recombination
Q9Y620	hsa03440	Homologous recombination
O95073	hsa03440	Homologous recombination
Q9NWV8	hsa03440	Homologous recombination
J3KQS6	hsa03440	Homologous recombination
Q13156	hsa03440	Homologous recombination
P49959	hsa03440	Homologous recombination
F8W7U8	hsa03440	Homologous recombination
