uniprot_acc	gene_id
Q9UIL8	hsa:51131
Q96QT6	hsa:57649
P20142	hsa:5225
Q9BZM1	hsa:81579
Q86YI8	hsa:148479
Q9BX93	hsa:84647
Q96FA3	hsa:57162
O94880	hsa:9678
Q9HAT8	hsa:57161
Q9NZ53	hsa:50512
Q5T6S3	hsa:26147
Q8N2H9	hsa:246330
Q9H720	hsa:80157
Q9BSU1	hsa:80262
Q9H5P4	hsa:79955
O43189	hsa:5252
P12955	hsa:5184
Q9NWQ8	hsa:55824
Q8NEN9	hsa:118987
Q9BVI0	hsa:51230
Q8IXQ8	hsa:255762
Q9BRX2	hsa:53918
Q9BUL5	hsa:79142
Q9C0D0	hsa:221692
Q9UPV7	hsa:23349
O75167	hsa:9749
Q96KR7	hsa:116154
P34995	hsa:5731
O75151	hsa:5253
P43116	hsa:5732
Q8IZ21	hsa:65979
P43115	hsa:5733
Q92576	hsa:23469
Q7RTV0	hsa:84844
P35408	hsa:5734
Q8IZL8	hsa:27043
Q6P996	hsa:23042
Q8NDH3	hsa:79716
Q6P474	NA
Q8IWS0	hsa:84295
O60437	hsa:5493
Q9H814	hsa:51808
Q9BWX1	hsa:51533
Q15121	hsa:8682
Q9UBM1	hsa:10400
Q9H792	hsa:79834
P35232	hsa:5245
Q9UPP1	hsa:23133
P18669	hsa:5223
Q6ZS72	hsa:374872
P15259	hsa:5224
Q5VY43	hsa:375033
Q8N0Y7	hsa:441531
Q9NZ42	hsa:55851
C9JFL3	hsa:644844
Q99623	hsa:11331
Q96HS1	hsa:192111
Q13951	hsa:865
Q75T13	hsa:80055
Q9UHJ9	hsa:27315
P30086	hsa:5037
Q96FC7	hsa:84457
P78364	hsa:1911
Q96RV3	hsa:22990
P01210	hsa:5179
Q96FM1	hsa:93210
Q96S96	hsa:157310
A6NKB5	hsa:80003
Q8IXK0	hsa:1912
Q9BRR3	hsa:84302
Q9H6A9	hsa:399909
Q8WWQ0	hsa:55023
Q9HCN3	hsa:58986
Q8NDX5	hsa:80012
Q63HM2	hsa:64430
P16284	hsa:5175
Q96JS3	hsa:84547
Q96RR1	hsa:56652
Q6P3X8	hsa:267002
Q8N328	hsa:267004
Q96DM1	hsa:161779
Q8N414	hsa:79605
Q16816	hsa:5260
Q9P0L9	hsa:9033
Q9H4B4	hsa:1263
Q9NZM6	hsa:27039
Q9BY49	hsa:55825
P98160	hsa:3339
P15735	hsa:5261
P49585	hsa:5130
Q9H1Q7	hsa:64773
Q96HM7	hsa:91523
Q9Y5K3	hsa:9468
P16112	hsa:176
P36955	hsa:5176
P52945	hsa:3651
Q9UBV8	hsa:553115
P0DJD8	hsa:643834
Q99447	hsa:5833
P0DJD7	hsa:643847
P0DJD9	hsa:5222
Q9HCR9	hsa:50940
Q86TG7	hsa:23089
P42785	hsa:5547
Q6L8Q7	hsa:201626
Q9GZU2	hsa:5178
Q9UHG3	hsa:51449
P54750	hsa:5136
Q8NBM8	hsa:78991
Q01064	hsa:5153
Q14123	hsa:5137
Q9NZQ7	hsa:29126
Q9BQ51	hsa:80380
Q9Y5Y4	hsa:11251
Q13258	hsa:5729
O00408	hsa:5138
Q14432	hsa:5139
Q13370	hsa:5140
Q7Z2X4	hsa:55022
P27815	hsa:5141
Q9Y6V0	hsa:27445
Q07343	hsa:5142
Q9BUL8	hsa:11235
Q08493	hsa:5143
Q15154	hsa:5108
Q08499	hsa:5144
Q96MG8	hsa:115294
Q9NV79	hsa:55251
O76074	hsa:8654
P16499	hsa:5145
Q8WUM4	hsa:10015
P35913	hsa:5158
Q9UHG2	hsa:27344
P51160	hsa:5146
Q15116	hsa:5133
Q6UW60	hsa:54760
Q16342	hsa:5134
O43924	hsa:5147
Q53EL6	hsa:27250
Q92824	hsa:5125
P12004	hsa:5111
P29122	hsa:5046
O14737	hsa:9141
Q16549	hsa:9159
Q13946	hsa:5150
O75340	hsa:10016
Q9NP56	hsa:27115
Q8N8D1	hsa:10081
O60658	hsa:5151
Q8N4E4	hsa:132954
Q8NBP7	hsa:255738
O95263	hsa:8622
Q9H2J4	hsa:79031
O76083	hsa:5152
Q9BRP1	hsa:84306
Q9Y233	hsa:10846
Q8WW12	hsa:57092
O95613	hsa:5116
A5PLL7	hsa:387521
A5PLL7	hsa:387522
Q15113	hsa:5118
Q9UKZ9	hsa:26577
Q58A44	NA
P04085	hsa:5154
P01127	hsa:5155
Q8IVA1	hsa:126006
Q9NRA1	hsa:56034
P48539	hsa:5121
Q9GZP0	hsa:80310
P63128	NA
P78337	hsa:5307
P55058	hsa:5360
Q9BX97	hsa:83483
Q99697	hsa:5308
O75364	hsa:5309
Q9UIW2	hsa:5361
O75051	hsa:5362
A6NEE1	hsa:400224
P51805	hsa:55558
Q9HCM2	hsa:91584
Q96J94	hsa:9271
O43157	hsa:5364
