Chip Run Info,C:\Users\Pierre\Desktop\hIPSC project\1362362588_plate2_v2_human_lineage_10-4-18\ChipRun.bml,1362362588,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,10/04/2018 3:51:47 PM,01:54:01,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.3.1
Application Build,20170404.1035
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A65,H2O,Unknown,1,Apoh,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A64,H2O,Unknown,1,Ins,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A63,H2O,Unknown,1,Sox17,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A62,H2O,Unknown,1,Nodal,Test,26.9276990307848,1,Pass,0.0113351551779112,76.9005236688574,999,1
S96-A61,H2O,Unknown,1,Nanog,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A72,H2O,Unknown,1,B2m,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A71,H2O,Unknown,1,Otx2,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A70,H2O,Unknown,1,Pou4f1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A69,H2O,Unknown,1,Dcx,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A68,H2O,Unknown,1,Cd34,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A67,H2O,Unknown,1,Smtn,Test,18.0606001309108,0.752290369341595,Pass,0.0113351551779112,87.082065144056,999,1
S96-A78,H2O,Unknown,1,Gata6,Test,38.7499934107358,0,Fail,0.0113351551779112,999,999,0
S96-A77,H2O,Unknown,1,Alb,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A76,H2O,Unknown,1,Pdx1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A75,H2O,Unknown,1,Sox7,Test,32.4555908813921,0.68699667591246,Pass,0.0113351551779112,88.2262832028649,999,1
S96-A74,H2O,Unknown,1,Lhx1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A73,H2O,Unknown,1,Pou5f1,Test,35.6231505494593,0.858890921886679,Pass,0.0113351551779112,88.0128584729964,999,1
S96-A84,H2O,Unknown,1,,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A83,H2O,Unknown,1,Krt14,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A82,H2O,Unknown,1,Eno1,Test,29.0789274028081,0.628693229629209,Fail,0.0113351551779112,87.1213675830173,999,1
S96-A81,H2O,Unknown,1,Neurod1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A80,H2O,Unknown,1,Cd79a,Test,37.6390800041921,0,Fail,0.0113351551779112,999,999,0
S96-A79,H2O,Unknown,1,Klf5,Test,22.0323516619784,0.687029431747694,Pass,0.0113351551779112,87.9097770973557,999,1
S96-A90,H2O,Unknown,1,Kdr,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A89,H2O,Unknown,1,Hgf,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A88,H2O,Unknown,1,Acvr1b,Test,18.651978469643,0.83610770163582,Pass,0.0113351551779112,88.1240066931744,999,1
S96-A87,H2O,Unknown,1,Krt19,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A86,H2O,Unknown,1,Eomes,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A85,H2O,Unknown,1,Prdm14,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A96,H2O,Unknown,1,,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A95,H2O,Unknown,1,Grin1,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A94,H2O,Unknown,1,Gbx2,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A93,H2O,Unknown,1,Nes,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A92,H2O,Unknown,1,Ryr2,Test,999,0,Fail,0.0113351551779112,999,999,0
S96-A91,H2O,Unknown,1,Mesp1,Test,36.3652438464692,0,Fail,0.0113351551779112,999,999,0
S06-A01,FA1 Day3 B,Unknown,1,Zic3,Test,19.8328853818969,1,Pass,0.0113351551779112,86.9832590273533,999,1
S06-A02,FA1 Day3 B,Unknown,1,Sox2,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A03,FA1 Day3 B,Unknown,1,Gsc,Test,18.6494082838371,1,Pass,0.0113351551779112,85.0798480142916,999,1
S06-A04,FA1 Day3 B,Unknown,1,AFP,Test,34.1923800528685,0.659849672937526,Pass,0.0113351551779112,85.139555142276,999,1
S06-A05,FA1 Day3 B,Unknown,1,Gata4,Test,20.425040718331,1,Pass,0.0113351551779112,86.055439258587,999,1
