Chip Run Info,G:\Lab 5 Image Data\Project and data\hIPSC\Differentiation\DE Diff\RT_and_qPCR\BioMark\UQ hepatocyte BioMark\1362419391_23-10-19_hepatocyte\ChipRun.bml,1362419391,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,23/10/2019 3:40:17 PM,01:53:50,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A09,FA3-1- 18hr Dox D4,Unknown,1,Nkx2-5,Test,31.8442031049761,1,Pass,0.0128092640861449,84.7822316349181,999,1
S06-A10,FA3-1- 18hr Dox D4,Unknown,1,Zic1,Test,24.4725865277057,0.989587474907921,Pass,0.0128092640861449,89.1366195428636,999,1
S06-A11,FA3-1- 18hr Dox D4,Unknown,1,Fabp7,Test,17.1383522072575,1,Pass,0.0128092640861449,78.6866789784487,999,1
S06-A12,FA3-1- 18hr Dox D4,Unknown,1,Dcx,Test,18.8589112204835,1,Pass,0.0128092640861449,79.0149553477062,999,1
S06-A13,FA3-1- 18hr Dox D4,Unknown,1,Dppa4,Test,21.1834945191787,1,Pass,0.0128092640861449,80.2189150135313,999,1
S06-A14,FA3-1- 18hr Dox D4,Unknown,1,Zfp42,Test,12.8723219999163,1,Pass,0.0128092640861449,76.6816031726592,999,1
S06-A15,FA3-1- 18hr Dox D4,Unknown,1,Tdgf1,Test,10.4978057526534,1,Pass,0.0128092640861449,86.6945349344249,999,1
S06-A16,FA3-1- 18hr Dox D4,Unknown,1,Cdx2,Test,38.9033279634623,0,Flag,0.0128092640861449,999,999,0
S06-A17,FA3-1- 18hr Dox D4,Unknown,1,Pecam1,Test,22.1001347328097,1,Pass,0.0128092640861449,81.1238480642112,999,1
S06-A18,FA3-1- 18hr Dox D4,Unknown,1,ADH1B,Test,999,0,Flag,0.0128092640861449,999,999,0
S06-A19,FA3-1- 18hr Dox D4,Unknown,1,CEPBA,Test,21.352518625193,1,Pass,0.0128092640861449,87.5696460041549,999,1
S06-A20,FA3-1- 18hr Dox D4,Unknown,1,Hand1,Test,30.7968772757355,0.948691515954142,Pass,0.0128092640861449,86.7013915925563,999,1
S06-A21,FA3-1- 18hr Dox D4,Unknown,1,Pdgfra,Test,15.623510175473,1,Pass,0.0128092640861449,80.1615862326304,999,1
S06-A22,FA3-1- 18hr Dox D4,Unknown,1,Chat,Test,999,0,Flag,0.0128092640861449,999,999,0
S06-A23,FA3-1- 18hr Dox D4,Unknown,1,Tubb3,Test,12.7535334182396,1,Pass,0.0128092640861449,89.9253290504579,999,1
S06-A24,FA3-1- 18hr Dox D4,Unknown,1,Nes,Test,14.6345390173831,1,Pass,0.0128092640861449,84.8902131678788,999,1
S06-A25,FA3-1- 18hr Dox D4,Unknown,1,Fgf5,Test,20.4227845557265,1,Pass,0.0128092640861449,73.3118228264842,999,1
S06-A26,FA3-1- 18hr Dox D4,Unknown,1,T,Test,21.6704270601665,1,Pass,0.0128092640861449,77.6509540726786,999,1
S06-A27,FA3-1- 18hr Dox D4,Unknown,1,Axin2,Test,14.9979411649835,1,Pass,0.0128092640861449,84.0418722255625,999,1
S06-A28,FA3-1- 18hr Dox D4,Unknown,1,Shh,Test,18.4379303567905,1,Pass,0.0128092640861449,84.613169663444,999,1
