Chip Run Info,C:\Users\Osteil\Desktop\To Read & Write\hiPSC\Biomark\plate 1 121121_C32-DPVR and Anai samples_\ChipRun.bml,1362627095,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,12/11/2021 04:57:29,01:54:03,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.8.1
Application Build,20210907.1056
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A48,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,TBP,Test,13.9620792734322,1,Pass,0.0102617438427988,81.8063399487079,999,1
S96-A54,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Col10a1,Test,36.5635825851822,0.932393876872708,Pass,0.0102617438427988,74.5155435262864,999,1
S96-A53,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Dcn,Test,28.4085603787506,0.907985943810817,Pass,0.0102617438427988,75.3848205347622,999,1
S96-A52,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Hhex,Test,18.7871826786314,1,Pass,0.0102617438427988,79.9718777769721,999,1
S96-A51,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Foxa2,Test,21.9879333713283,1,Pass,0.0102617438427988,85.8849896836869,999,1
S96-A50,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Wnt3a,Test,26.2187671963206,1,Pass,0.0102617438427988,78.0581321601514,999,1
S96-A49,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Klf4,Test,20.0681963933637,1,Pass,0.0102617438427988,83.9119317921634,999,1
S96-A60,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Gusb,Test,13.8021502442165,1,Pass,0.0102617438427988,80.2116959858041,999,1
S96-A59,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Sox1,Test,22.0776127708262,1,Pass,0.0102617438427988,80.9619064202317,999,1
S96-A58,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Vim,Test,12.3746020846366,1,Pass,0.0102617438427988,82.4113492260903,999,1
S96-A57,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Fabp7,Test,15.8982328053554,1,Pass,0.0102617438427988,78.6625615341081,999,1
S96-A56,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Myh7,Test,17.9671366344196,1,Pass,0.0102617438427988,86.2166941704515,999,1
S96-A55,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Igf2,Test,22.3923706022651,1,Pass,0.0102617438427988,87.6220766861213,999,1
S96-A66,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Ctsk,Test,16.363660483804,1,Pass,0.0102617438427988,80.1087188792068,999,1
S96-A65,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,LHX2,Test,23.9400681579754,1,Pass,0.0102617438427988,87.3557687073503,999,1
S96-A64,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,RAX,Test,24.414011813169,0.96245091731445,Pass,0.0102617438427988,80.3793669594266,999,1
S96-A63,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Sox17,Test,24.14177402764,0.961774250498047,Pass,0.0102617438427988,82.324441854752,999,1
S96-A62,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Nodal,Test,17.4113382961522,1,Pass,0.0102617438427988,84.3153043545207,999,1
