Chip Run Info,C:\Users\Pierre\Desktop\hIPSC project\1362362586_plate1_hiPSC_lineage_6-4-18\ChipRun.bml,1362362586,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,6/04/2018 3:29:29 PM,01:53:03,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.3.1
Application Build,20170404.1035
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A63,H2O,Unknown,1,Sox17,Test,18.9807324947495,0,Fail,0.0140148835713606,999,999,0
S96-A62,H2O,Unknown,1,Nodal,Test,18.4283283224198,0,Fail,0.0140148835713606,999,999,0
S96-A61,H2O,Unknown,1,Nanog,Test,22.4446838870074,0,Fail,0.0140148835713606,999,999,0
S96-A72,H2O,Unknown,1,B2m,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A71,H2O,Unknown,1,Otx2,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A70,H2O,Unknown,1,Pou4f1,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A69,H2O,Unknown,1,Dcx,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A68,H2O,Unknown,1,Cd34,Test,24.9072004633178,0.35668731772201,Fail,0.0140148835713606,79.1841749299866,999,1
S96-A67,H2O,Unknown,1,Smtn,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A78,H2O,Unknown,1,Gata6,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A77,H2O,Unknown,1,Alb,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A76,H2O,Unknown,1,Pdx1,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A75,H2O,Unknown,1,Sox7,Test,22.5664409820224,0,Fail,0.0140148835713606,999,999,0
S96-A74,H2O,Unknown,1,Lhx1,Test,18.9699035845407,0.771251087667675,Pass,0.0140148835713606,62.8836251334571,999,1
S96-A73,H2O,Unknown,1,Pou5f1,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A84,H2O,Unknown,1,,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A83,H2O,Unknown,1,Krt14,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A82,H2O,Unknown,1,Eno1,Test,20.2801288832394,0,Fail,0.0140148835713606,999,999,0
S96-A81,H2O,Unknown,1,Neurod1,Test,25.1827661693128,0,Fail,0.0140148835713606,999,999,0
S96-A80,H2O,Unknown,1,Cd79a,Test,19.5533381620613,0,Fail,0.0140148835713606,999,999,0
S96-A79,H2O,Unknown,1,Klf5,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A90,H2O,Unknown,1,Kdr,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A89,H2O,Unknown,1,Hgf,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A88,H2O,Unknown,1,Acvr1b,Test,24.4438462208468,0,Fail,0.0140148835713606,999,999,0
S96-A87,H2O,Unknown,1,Krt19,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A86,H2O,Unknown,1,Eomes,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A85,H2O,Unknown,1,Prdm14,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A96,H2O,Unknown,1,,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A95,H2O,Unknown,1,Grin1,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A94,H2O,Unknown,1,Gbx2,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A93,H2O,Unknown,1,Nes,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A92,H2O,Unknown,1,Ryr2,Test,999,0,Fail,0.0140148835713606,999,999,0
S96-A91,H2O,Unknown,1,Mesp1,Test,999,0,Fail,0.0140148835713606,999,999,0
