Chip Run Info,C:\Users\posteil\Desktop\hIPSC project\OMIC\Data\Biomark on cohort\16-8-19 MixL1KO and IO Human cell lineage markers\ChipRun.bml,1362362587,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,16/08/2019 4:08:51 PM,01:53:06,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A70,MB2 IO pool p4,Unknown,1,Pou4f1,Test,18.2472862644864,0.70880455884369,Pass,0.0137889310993103,84.7000261838773,999,1
S06-A69,MB2 IO pool p4,Unknown,1,Dcx,Test,20.6439524963099,0.875983825854332,Pass,0.0137889310993103,78.8039401147811,999,1
S06-A68,MB2 IO pool p4,Unknown,1,Cd34,Test,999,0,Flag,0.0137889310993103,999,999,0
S06-A67,MB2 IO pool p4,Unknown,1,Smtn,Test,15.3770740736101,0.828207442139985,Pass,0.0137889310993103,83.9987010196843,999,1
S06-A78,MB2 IO pool p4,Unknown,1,Gata6,Test,13.8293727670293,0.943726037165041,Pass,0.0137889310993103,79.3282980492068,999,1
S06-A77,MB2 IO pool p4,Unknown,1,Alb,Test,19.7449835003634,0.943347732747219,Pass,0.0137889310993103,79.3020677494223,999,1
S06-A76,MB2 IO pool p4,Unknown,1,Pdx1,Test,24.4643487019158,0.875502478043934,Pass,0.0137889310993103,84.2639590614496,999,1
S06-A75,MB2 IO pool p4,Unknown,1,Sox7,Test,25.7392588675929,0.822183814555935,Pass,0.0137889310993103,77.6580170581914,999,1
S06-A74,MB2 IO pool p4,Unknown,1,Lhx1,Test,38.4140770347609,0,Flag,0.0137889310993103,999,999,0
S06-A73,MB2 IO pool p4,Unknown,1,Pou5f1,Test,19.4679385063674,0.860803778018685,Pass,0.0137889310993103,82.8579133914381,999,1
S06-A84,MB2 IO pool p4,Unknown,1,,Test,999,0,Flag,0.0137889310993103,999,999,0
S06-A83,MB2 IO pool p4,Unknown,1,Krt14,Test,999,0,Flag,0.0137889310993103,999,999,0
S06-A82,MB2 IO pool p4,Unknown,1,Eno1,Test,12.2834143793152,0.726634350066154,Pass,0.0137889310993103,83.8798459672915,999,1
S06-A81,MB2 IO pool p4,Unknown,1,Neurod1,Test,22.6002423067899,0.89579055219052,Pass,0.0137889310993103,80.0378283350744,999,1
S06-A80,MB2 IO pool p4,Unknown,1,Cd79a,Test,24.6517968398662,0.675317283444543,Pass,0.0137889310993103,83.931939113343,999,1
S06-A79,MB2 IO pool p4,Unknown,1,Klf5,Test,12.923650125465,0.938461536726886,Pass,0.0137889310993103,77.0723769341684,999,1
S06-A90,MB2 IO pool p4,Unknown,1,Kdr,Test,19.3771048377473,0.822199566052989,Pass,0.0137889310993103,77.9103348386578,999,1
S06-A89,MB2 IO pool p4,Unknown,1,Hgf,Test,24.4393984598177,0.897555128773441,Pass,0.0137889310993103,76.9260631729415,999,1
