uniprot_acc	1_SET1	2_SET1	3_SET1	4_SET1	5_SET1	6_SET1	7_SET1	8_SET1	9_SET1	10_SET1	11_SET1	12_SET1	13_SET1	14_SET1	15_SET1	16_SET1	1_SET2	2_SET2	3_SET2	4_SET2	5_SET2	6_SET2	7_SET2	8_SET2	9_SET2	10_SET2	11_SET2	12_SET2	13_SET2	14_SET2	15_SET2	16_SET2	1_SET3	2_SET3	3_SET3	4_SET3	5_SET3	6_SET3	7_SET3	8_SET3	9_SET3	10_SET3	11_SET3	12_SET3	13_SET3	14_SET3	15_SET3	16_SET3
Q15907:H3BN38	803450	984660	925080	1008700	1143500	932440	1063100	1104200	987160	872100	925070	1454700	1331500	841920	1166300	1022400	1021400	918530	499540	805120	576200	830380	1009800	1092000	858280	614940	769590	918600	1029700	615650	492280	829400	1394400	1160100	1073100	1572500	1558700	1427700	1486900	1631000	1339700	1199200	1100800	1219100	1375200	1352500	1106000	1383500
Q92800:Q15910	150590	172500	187610	154090	108650	142520	151750	145370	173280	176320	215810	172850	145360	194050	168690	172610	134070	128780	123590	129370	76523	139520	137120	128390	139400	140920	168760	146710	131200	83318	106130	156220	85350	82041	95027	75875	73839	53311	78246	71455	84343	120030	127190	122520	102710	95230	101240	113910
Q15928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q15942	4323300	3948200	3780500	3026800	3262500	2825500	2687300	3458600	3289700	3111900	3101200	2895000	3245800	2829900	4579700	3210200	1970600	1584800	1421000	2027100	1816700	1771800	1273400	1657700	1733100	1131000	1441600	1527700	1455100	1238600	1048400	1885400	3113800	2560100	2160800	2368600	2249000	1820100	1966300	2450700	2571200	2908700	2254200	2983800	2188900	2457400	2875700	2983400
Q16143	131930	126090	80625	89090	115090	115050	95064	110550	82682	98214	88745	99288	73600	78508	76789	100830	75312	49130	61760	83562	159700	81774	74588	86221	80095	84917	77641	92899	87916	73225	92796	103740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16181:Q6ZU15	2890200	3345900	2993700	3137600	2655100	2666000	2645400	2786100	2953200	3092500	3025000	2513500	2977600	3423900	2981800	3191100	2595300	2261800	2049400	2463100	1295900	2449100	2111500	2361600	2360900	2182000	2384800	2476400	2327000	1749300	2091900	2760500	1290400	1452900	1316700	1564700	1555700	1199800	1454500	1560100	1488100	1459900	1525700	1516100	1624200	1476800	1487100	1698300
Q16181-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16186	675480	687030	653540	619040	453120	598890	540710	556280	641890	737350	639240	449940	525980	696510	667920	633790	542820	449650	411670	461200	462080	559250	409870	392560	445890	424100	486040	453550	442500	408300	393560	547500	496010	533670	568620	508280	489000	313820	542670	463630	520570	665110	645690	601110	640570	491820	599160	720380
Q16204	1110300	1190700	1099500	1299500	1288200	1459100	1234700	1365100	1279300	1114100	1357600	1175600	1400700	1292600	1105600	1186300	1267500	1023800	1182300	1244100	931800	1214200	1052000	1080400	1181700	1194000	1200800	1295100	1287700	1591100	737630	1314300	929730	765110	778170	955480	1043800	835160	912890	1082700	1158700	1034500	1047900	1019500	1247200	1064400	1040300	1164000
Q16206	16183	21901	20557	25182	21615	28556	34234	21619	28137	43002	46031	31814	24999	47545	18458	27827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16222:A0A087X226	107880	129930	121420	129220	129410	110240	91947	136070	128700	99931	101840	119190	155520	97721	158080	113870	108550	108020	87966	85320	63975	120710	81298	99243	94360	86152	104840	92093	99859	63454	79153	102030	142450	212310	187790	169400	151440	124410	150820	151710	133640	142100	127780	146900	157670	139880	131410	163200
