maxquant_row_id	num_gene_names	gene_names	uniprot_acc	is_unique	protein_ids
3502	1	ATP5PB	P24539	Unique	Q5QNZ2;P24539
3503	1	ACP1	P24666	Unique	P24666;G5E9R5;P24666-4;P24666-3;F2Z2Q9
3504	1	ACP1	D3YTI2	Unique	P24666-2;D3YTI2
3505	1	ACAT1	P24752	Unique	P24752;A0A5F9ZHL1;A0A5F9ZHJ7;A0A5F9ZHJ0;A0A5F9ZHD4;A0A5F9ZI66;A0A5F9ZHH9;H0YEL7;P24752-2;A0A5F9ZHL7;E9PRQ6
3506	2	MYL9:MYL12A	P24844:J3KTJ1	Multimapped	P24844;P24844-2;J3KTJ1
3507	1	APC	P25054	Unique	P25054-2;P25054;P25054-3;E9PFT7;D6RFL6;E7EMH9
3508	1	GRK2	P25098	Unique	P25098;E9PRV7
3509	1	MCM3	P25205	Unique	P25205;P25205-2;J3KQ69;A0A499FHX9;Q7Z6P5
3510	2	CHRND:MPST	Q07001:P25325	Multimapped	P25325;P25325-2;B1AH49;F8WB46;F8WBS0;C9JJV8;B4DKT6;Q07001-2;Q07001
3511	1	LAMA1	P25391	Unique	P25391
3512	1	RPS12	P25398	Unique	P25398
3513	1	FAS	P25445	Unique	P25445-6;P25445
3514	2	YY1:ZFP42	P25490:Q96MM3	Multimapped	P25490;H0YJV7;Q96MM3;A0A494C032;H0YJU4
3515	1	DNAJB1	P25685	Unique	P25685;A0A7I2V3K7;P25685-2;M0QXK0;M0R080;M0QYT3;A0A7I2YQW1;M0R1D6;M0QZD0;M0R128;A0A1B0GX60
3517	2	PSMA1:NA	P25786:B4DEV8	Multimapped	P25786;P25786-2;F5GX11;B4DEV8;F5H112
3518	1	PSMA3	P25788	Unique	P25788-2;P25788;G3V4X5;H0YJ03;G3V3W4;G3V5N4
3519	1	PSMA4	P25789	Unique	P25789;H0YN18;H0YMZ1;H0YL69;H0YMA1;P25789-2;H0YKT8;H0YMI6;H0YKS0;H0YLC2;H0YMV3;H0YLS6
3520	1	ITGA3	P26006	Unique	P26006;P26006-1;H0YA32;K7EMU3
3521	1	MSN	P26038	Unique	P26038;V9GZ54
3522	1	DDX6	P26196	Unique	P26196;Q8IV96
3523	1	CTNNA2	P26232	Unique	P26232-2;P26232-5;P26232;P26232-3;A0A0A0MRI5;P26232-4;P26232-6;A0A0A0MTJ6;C9IZ88
3524	1	DNMT1	A0A7I2V311	Unique	P26358-2;A0A7I2V311;K7ELB1
3525	1	U2AF2	P26368	Unique	P26368-2;P26368;K7ENG2;K7ELP8
3526	1	RPL13	P26373	Unique	P26373;P26373-2;J3QSB4;J3KS98;H3BUK8;H3BTH3
3527	1	CHML	P26374	Unique	P26374
3528	1	S100A4	P26447	Unique	P26447
3529	1	MGAT1	P26572	Unique	P26572;D6RA48;D6RBS3;D6RAK2;D6R9U2;D6RD15;D6RB69;D6RHZ8;D6RF69
3530	1	HMGB2	P26583	Unique	P26583;D6R9A6
3531	1	PTBP1	P26599	Unique	P26599;P26599-2;P26599-3;A0A7I2V4H6;A0A6Q8PEX4;A0A0D9SF20;K7EKJ7;A0A087WU68
3532	1	TARS1	P26639	Unique	P26639;P26639-2;D6R9F8;D6RCA5;D6RDJ6;D6RBR8;D6RJ97;D6RHV7;D6RCS6
3533	1	VARS1	P26640	Unique	P26640;A0A140T936;A0A140T954;P26640-2;H0Y426;A2ABF4;A0A0G2JJT9;A0A140T904
3534	2	EEF1G:THPO	P26641:A0A3B3ITS0	Multimapped	P26641;P26641-2;A0A3B3ITS0
3535	1	STOM	P27105	Unique	P27105;P27105-2;F8VSL7
3536	1	AK4	P27144	Unique	P27144;F8VS11
3537	1	YWHAQ	P27348	Unique	P27348;E9PG15
3538	1	MAPK3	P27361	Unique	P27361;E9PBK7;P27361-2;E9PQW4;P27361-3;E9PJF0
3539	2	RPL10:RPL10L	P27635:Q96L21	Multimapped	P27635;X1WI28;Q96L21;A6QRI9;B8A6G2
3541	1	APEX1	P27695	Unique	P27695;G3V3M6;G3V5Q1;G3V3C7;A0A0C4DGK8;H7C4A8;G3V5M0;G3V359;G3V5D9;G3V3Y6;G3V2D9
3542	1	DCK	P27707	Unique	P27707;D6RFG8;D6RCP9;D6RG38
3543	1	CAD	P27708	Unique	P27708;F8VPD4;H7C2E4;H7BZB3;H7C3Z5
3544	1	CALR	P27797	Unique	P27797;K7EL50;K7EJB9;A0A7P0T861
3545	1	MAP4	H7C4C5	Unique	P27816-5;H7C4C5
3546	1	PIK3R1	P27986	Unique	P27986;P27986-4
3547	1	PSMA5	P28066	Unique	P28066;P28066-2
3548	1	PSMB4	P28070	Unique	P28070
3549	1	PSMB6	P28072	Unique	P28072;A0A087X2I4;I3L3X7
3550	1	PSMB5	P28074	Unique	P28074;P28074-3;H0YJM8;P28074-2
3551	1	TMOD1	P28289	Unique	P28289
3552	1	NDUFS1	P28331	Unique	P28331;P28331-2;P28331-4;P28331-5;B4DJ81;P28331-3;C9JPQ5;F8WDL5
3553	2	MSX1:MSX2	P28360:P35548	Multimapped	P35548;P28360
3554	1	MAPK1	P28482	Unique	P28482;P28482-2
3555	1	RBL1	P28749	Unique	P28749;P28749-2;H0YE05
3556	1	LAP3	P28838	Unique	P28838-2;P28838;H0Y9Q1;H0Y983
3557	1	TNFRSF8	P28908	Unique	P28908;P28908-3;P28908-2
3558	1	GTF2E1	P29083	Unique	P29083;C9IYL4;E9PER7;C9J329
3559	1	GTF2E2	P29084	Unique	P29084;E5RH41;E5RIW4;E5RK24
3560	1	PCSK1	P29120	Unique	P29120-2;P29120
3561	1	TPP2	P29144	Unique	P29144;A0A494C1B8;A0A494C0U1;A0A494C1S4;A0A494C0A3;A0A494C159;A0A494C1S6;A0A494C0X4;A0A494C1L2
3562	1	IMPA1	P29218	Unique	P29218;P29218-3;H0YBL1;E5RG13;E5RG94;E5RHE9;E5RI82;P29218-2;E5RIF4;E5RGY4
3563	1	EPHA2	P29317	Unique	P29317;P29317-2
3564	1	PTPN6	P29350	Unique	P29350;P29350-3;P29350-4;F5H0N8;F5H5H9;F5H1Z8;P29350-2;F5H1V7;F5H4Z1;F5GXD4;U3KQS1;F5GY79
3565	2	SHC1:SHC2	P29353:P98077	Multimapped	P29353;P29353-6;P29353-2;P29353-7;P29353-3;Q5T182;Q5T181;X6R6D0;P29353-5;H0Y539;Q5T188;Q5T187;P98077
3566	1	MPG	P29372	Unique	P29372-5;P29372-4;P29372-2;P29372;A2IDA3
3567	1	CRABP2	P29373	Unique	P29373;Q5SYZ4
3568	1	ARID4A	P29374	Unique	P29374-3;P29374-2;P29374;H7C485;C9J1W3
